Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (importStaticTwice) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (importStaticUsingWildcards) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (noImports) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (singleImport) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingImports) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (annotatedTypeParam) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (skipJavaLangImportsWithConflictingClassLast) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (skipJavaLangImportsWithConflictingClassFirst) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingParentName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingChildName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingNameOutOfScope) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (nestedClassAndSuperclassShareName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (classAndSuperclassShareName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingAnnotation) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingAnnotationReferencedClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (conflictingTypeVariableBound) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (superclassReferencesSelf) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (annotationIsNestedClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (defaultPackage) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (defaultPackageTypesAreNotImported) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (topOfFileComment) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (emptyLinesInTopOfFileComment) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (packageClassConflictsWithNestedClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (packageClassConflictsWithSuperlass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (alwaysQualifySimple) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (alwaysQualifySupersedesJavaLangImports) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashesWithNestedClasses_viaClass) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashesWithNestedClasses_viaTypeElement) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashesWithNestedClasses_viaSuperinterfaceType) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashes_parentChild_superclass_type) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashes_parentChild_superclass_typeMirror) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashes_parentChild_superinterface_type) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashes_parentChild_superinterface_typeMirror) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,JavaFileTest,Law of Demeter violation,The tool detected the smell in this method (avoidClashes_mapEntry) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
javapoet,com.squareup.javapoet,LineWrapperTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.LineWrapper
javapoet,com.squareup.javapoet,MethodSpecTest,Law of Demeter violation,The tool detected the smell in this method (overrideDoesNotCopyParameterAnnotations) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.toJavaFileObject; com.squareup.javapoet.JavaFile.builder
javapoet,com.squareup.javapoet,MethodSpecTest,Law of Demeter violation,The tool detected the smell in this method (modifyMethodName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.MethodSpec.toBuilder; com.squareup.javapoet.MethodSpec.methodBuilder
javapoet,com.squareup.javapoet,NameAllocatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.NameAllocator
javapoet,com.squareup.javapoet,ParameterSpecTest,Law of Demeter violation,The tool detected the smell in this method (parameterVariableElement) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ParameterSpec.get; com.squareup.javapoet.ParameterSpec.toString
javapoet,com.squareup.javapoet,TypesEclipseTest.CompilationRule,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
javapoet,com.squareup.javapoet,TypeSpecTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
javapoet,com.squareup.javapoet,TypeSpecTest,Law of Demeter violation,The tool detected the smell in this method (toString) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString
